File name,Count,File Size (in MB),Difference in file size,Difference in count,Detection time (sec),Detection FPS,Encoding,Conversion Time (sec),Video Length,Time of Day,Weather
thai_cam_vid_1.mp4,34,16,,,404.211410522461,2.38824351147344,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4435', 'fps': '97'}",0,28.9956333333333,Day,Clear
thai_cam_vid_1-resolutionWidth-768.mp4,32,3.746716,76.58%,5.88%,293.139277458191,2.96797979277475,"{'codec': 'h264', 'profile': 'High', 'resolution': '768x432', 'bitrate': '1030', 'fps': '97'}",6.82201504707336,28.9956333333333,,
thai_cam_vid_1-resolutionWidth-384.mp4,29,1.109848,93.06%,14.71%,261.677314519882,3.7174750920966,"{'codec': 'h264', 'profile': 'High', 'resolution': '384x216', 'bitrate': '303', 'fps': '97'}",4.32694005966187,28.9956333333333,,
thai_cam_vid_1-resolutionWidth-284.mp4,30,0.674175,95.79%,,248.716878175735,4.68461092167223,"{'codec': 'h264', 'profile': 'High', 'resolution': '284x160', 'bitrate': '183', 'fps': '97'}",3.95015239715576,28.9956333333333,,
thai_cam_vid_1-resolutionWidth-1536.mp4,32,11.751713,26.55%,,370.364787340164,2.5344266817208,"{'codec': 'h264', 'profile': 'High', 'resolution': '1536x864', 'bitrate': '3239', 'fps': '97'}",17.5089538097382,28.9956333333333,,
thai_cam_vid_1-resolutionWidth-1152.mp4,33,7.568901,52.69%,,320.27562212944,2.68488650808715,"{'codec': 'h264', 'profile': 'High', 'resolution': '1152x648', 'bitrate': '2085', 'fps': '97'}",11.1299598217011,28.9956333333333,,
thai_cam_vid_1-fps-7.mp4,28,13.415906,16.15%,,94.205780506134,2.7601924328391,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '3663', 'fps': '7'}",0.194204330444336,29.2857142857143,,
thai_cam_vid_1-fps-25.mp4,32,16.367294,,,346.592633008957,2.24722630453548,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4500', 'fps': '25'}",0.199895620346069,29.08,,
thai_cam_vid_1-fps-22.mp4,32,16.098404,,,309.159686088562,2.3137352925947,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4424', 'fps': '22'}",0.185665607452393,29.0909090909091,,
thai_cam_vid_1-fps-19.mp4,30,15.775925,,,267.530822038651,2.3161127681636,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4334', 'fps': '19'}",0.197051763534546,29.1052631578947,,
thai_cam_vid_1-fps-16.mp4,32,15.183422,,,221.701417446136,2.54964264993895,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4168', 'fps': '16'}",0.210076570510864,29.125,,
thai_cam_vid_1-fps-13.mp4,29,14.876578,,,180.07191991806,2.4030382679649,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '4080', 'fps': '13'}",0.198591709136963,29.1538461538462,,
thai_cam_vid_1-fps-10.mp4,29,14.48263,,,137.286710977554,2.55572505958744,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '3966', 'fps': '10'}",0.219772100448608,29.2,,
thai_cam_vid_1-bitrate-990.mp4,33,3.633568,,,438.278872489929,2.32362662462251,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '999', 'fps': '97'}",17.3109498023987,28.9956333333333,,
thai_cam_vid_1-bitrate-720.mp4,34,2.647222,,,433.062209606171,2.45050727526709,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '727', 'fps': '97'}",16.0698852539063,28.9956333333333,,
thai_cam_vid_1-bitrate-450.mp4,29,1.661889,,,422.45462346077,1.63256741174951,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '455', 'fps': '97'}",15.5296003818512,28.9956333333333,,
thai_cam_vid_1-bitrate-350.mp4,29,1.294198,,,421.56217956543,2.4872932744467,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '353', 'fps': '97'}",15.2027544975281,28.9956333333333,,
thai_cam_vid_1-bitrate-250.mp4,28,0.926269,,,401.858480215073,2.3831018501304,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '252', 'fps': '97'}",14.9855310916901,28.9956333333333,,
thai_cam_vid_1-bitrate-1800.mp4,32,6.604719,,,445.416454315186,1.81459316096897,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '1819', 'fps': '97'}",19.4542014598846,28.9956333333333,,
thai_cam_vid_1-bitrate-1530.mp4,33,5.61407,,,446.324902296066,1.49387818436896,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '1545', 'fps': '97'}",18.9082853794098,28.9956333333333,,
thai_cam_vid_1-bitrate-150.mp4,26,0.575795,,,359.371171236038,2.83525332763396,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '155', 'fps': '97'}",14.5453751087189,28.9956333333333,,
thai_cam_vid_1-bitrate-1260.mp4,32,4.624678,,,440.357506752014,2.05302037183242,"{'codec': 'h264', 'profile': 'High', 'resolution': '1920x1080', 'bitrate': '1272', 'fps': '97'}",18.5953161716461,28.9956333333333,,
Singapore_Road_CTE_Tollroad_Singapore.mp4,926,,,,3386.74173092842,6.72969053748597,"{'codec': 'h264', 'profile': 'Main', 'resolution': '1280x720', 'bitrate': '2313', 'fps': '97'}",0,300.7004,Afternoon,"Clear, Sunny"
